resolution,blur,alignmentId,queryId,referenceId,confidence,score,reverseStrand,isValid
64,0,108,10510,1,15.57,0.2297297297297296,False,1
64,0,179,3252,1,279.98,0.5243128964059198,False,1
64,0,79,4592,1,205.55,0.356401384083045,True,1
64,0,107,11030,1,15.35,0.4486486486486484,False,1
64,0,4,5032,1,135.47,0.13765182186234803,False,0
64,0,180,7250,1,27.17,0.22051282051282084,True,1
64,0,144,5310,1,126.45,0.48868778280543,False,1
64,0,14,4341,1,168.79,0.45167447509977443,True,1
64,0,90,11560,1,14.89,0.34558823529411753,True,1
64,0,44,951,1,651.56,0.08798363449840607,True,0
64,0,76,1312,1,702.87,0.41189296950440757,False,1
64,0,26,3300,1,218.93,0.3963857010948424,False,1
64,0,66,8680,1,179.63,0.48958333333333337,False,1
64,0,170,6660,1,61.6,0.11855670103092775,True,1
64,0,151,3041,1,338.66,0.6150598170302604,True,1
64,0,34,2141,1,424.67,0.2564463197374591,False,1
64,0,181,5500,1,154.77,0.3645604395604395,False,1
64,0,27,8560,1,119.26,0.3442200257842719,False,1
64,0,123,11431,1,96.55,0.40153906866614053,True,1
64,0,91,27810,1,15.05,0.04999999999999993,True,0
64,0,21,9311,1,293.77,0.345855072463768,True,1
64,0,1,9581,1,68.04,0.07971014492753647,False,0
64,0,129,12700,1,36.7,0.25510204081632626,False,1
64,0,182,10531,1,579.6,0.0,True,0
64,0,18,7450,1,16.53,0.07936507936507964,True,0
64,0,60,741,1,1016.31,0.4111168032786885,False,1
64,0,68,4140,1,254.5,0.3544715447154472,True,1
64,0,49,1051,1,757.9,0.41395560960778355,False,1
64,0,132,9071,1,675.64,0.4112694300518136,True,1
64,0,161,11940,1,247.93,0.5760938268136807,False,1
64,0,118,26341,1,65.82,0.27835051546391765,True,1
64,0,128,13721,1,38.0,0.0793838862559243,True,0
64,0,43,3932,1,165.3,0.28883567794073617,False,1
64,0,58,3410,1,264.92,0.5481542247744053,False,1
64,0,89,14790,1,23.59,0.1653061224489798,True,0
64,0,165,361,1,967.38,0.4148244473342003,True,1
64,0,36,2131,1,403.7,0.14339539007092195,True,1
64,0,175,11820,1,123.46,0.5090909090909093,False,1
64,0,172,1191,1,566.41,0.27930434782608693,False,1
64,0,13,3260,1,271.88,0.2685288640595903,False,1
64,0,142,2940,1,325.55,0.6078911564625851,True,1
64,0,113,13592,1,37.11,0.36350777934936374,True,1
64,0,106,13580,1,21.33,0.20289855072463758,False,1
64,0,100,10250,1,22.67,0.15000000000000047,True,1
64,0,41,8122,1,263.09,0.3360695316272332,True,1
64,0,88,14430,1,21.89,0.04999999999999971,True,0
64,0,29,7220,1,35.21,0.23611111111111105,False,1
64,0,96,12210,1,19.28,0.41520467836257335,True,1
64,0,139,3912,1,243.61,0.0991253644314869,True,1
64,0,124,11532,1,236.25,0.3122559246776869,True,1
64,0,77,12610,1,38.83,0.018867924528302105,False,0
64,0,53,6070,1,89.28,0.0,True,0
64,0,23,14090,1,17.56,0.2599999999999998,True,1
64,0,62,1361,1,682.49,0.3899031076450429,True,1
64,0,86,9062,1,598.01,0.44698795180722894,False,1
64,0,54,1791,1,596.12,0.728126834997064,True,1
64,0,158,6880,1,41.72,0.3551587301587301,False,1
64,0,97,12341,1,23.73,0.20774647887323938,True,1
64,0,11,4201,1,124.61,0.3911877394636015,False,1
64,0,177,4482,1,208.19,0.43508771929824563,True,1
